52652d65cf1d4bb49c3364018939d21a,Е-журнал Довідник головної медичної сестри (надання права на використання) 12 місяців,48480000-6,Пакети програмного забезпечення для продажу та реалізації продукції і бізнес-аналітики,H87,штуки,1.0
52652d65cf1d4bb49c3364018939d21a,Е-журнал  Управління закладом охорони здоров'я (надання права на використання ) 12 міс.,48480000-6,Пакети програмного забезпечення для продажу та реалізації продукції і бізнес-аналітики,H87,штуки,1.0
2d40f29f839b429e9fcf41eba888e834,Надання ліцензії на право використання програмного забезпечення – Система Expertus Медзаклад за рівнем VIP (надання права на використання) 12 місяців,48480000-6,Пакети програмного забезпечення для продажу та реалізації продукції і бізнес-аналітики,H87,штуки,1.0
f21305b6a6fd47ccbf7ce49a962911b4,Доступ в режимі он-лайн до електронного інформаційного ресурсу ibuhgalter.net,72320000-4,"Послуги пов’язані з базами даних",E48,послуга,1.0
b3f08b634729443e90e40fb758518705,"Часткове технічне обслуговування лікарняного ліфта в/п 500кг на 4 зуп з релейною станцією керування вул..Чорновола 49 Івано-Франківськ",50750000-7,Послуги з технічного обслуговування ліфтів,E48,послуга,1.0
fc133d02239e4104845ac0647c7e7931,"Доступ до мережі Інтернет на швидкості 100Мбіт/с+ІР за адресою вул.Чорновола 49",72410000-7,Послуги провайдерів,MON,місяць,12.0
fc133d02239e4104845ac0647c7e7931,"Доступ до мережі Інтернет на швидкості 100Мбіт/с+ІР за адресою вул.Чорновола 47",72410000-7,Послуги провайдерів,MON,місяць,12.0
5764f52b01ff4783ab3a8f98c891a3f2,"Проведення робіт з дератизація і дезінфекція Комунального некомерційного підприємства ""Івано-Франківський обласний перинатальний центр Івано-Франківської обласної ради"" за адресою вул.Чорновола 49 м.Івано-Франківськ",90923000-3,Послуги з дератизації,E48,послуга,1.0
99ca9d74c85d4bc48bbbe3f0e81a865c,Вивезення твердих побутових відходів,90510000-5,Утилізація/видалення сміття та поводження зі сміттям,MTQ,метри кубічні,800.0
99ca9d74c85d4bc48bbbe3f0e81a865c,вивезення великогабаритних відходів,90510000-5,Утилізація/видалення сміття та поводження зі сміттям,MTQ,метри кубічні,40.0
cdb49245eaf84e308aecada4b294c6b0,Обслуговування робочих місць,72710000-0,Послуги у сфері локальних мереж,H87,штуки,12.0
cdb49245eaf84e308aecada4b294c6b0,Підтримка працездатності мережі та сервера MS SQL SERVER),72710000-0,Послуги у сфері локальних мереж,H87,штуки,12.0
1eaaa763c6eb470b8b677a559be39c5d,Обслуговування робочих місць,72250000-2,"Послуги, пов’язані із системами та підтримкою",H87,штуки,12.0
1eaaa763c6eb470b8b677a559be39c5d,"Супроводження модулів:Головна книга, Фінансовий облік, Логістика, Основні засоби, Облік Договорів",72250000-2,"Послуги, пов’язані із системами та підтримкою",H87,штуки,12.0
1eaaa763c6eb470b8b677a559be39c5d,Супроводження Модуля «Заробітна плата»,72250000-2,"Послуги, пов’язані із системами та підтримкою",H87,штуки,12.0
28e545c471e345149309412fdb7c1415,"Надання освітньої послуги на циклі тематичного удосконалення, а саме: ""Неонатальні судоми. Амплітудно-інтегрована електроенцефалографія та тривалий відео-ЕЕГ моніторинг в діагностиці та веденні новонароджених із судомним синдромом»",80320000-3,Послуги у сфері медичної освіти,E48,послуга,1.0
