24687786,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ІВАНО-ФРАНКІВСЬКИЙ ОБЛАСНИЙ ПЕРИНАТАЛЬНИЙ ЦЕНТР ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСНОЇ РАДИ""",Buyer,LAPKOVV1971@GMAIL.COM
19426807,"Дитячий спеціалізований санаторій ""Орлятко"" Територіального медичного об'єднання ""САНАТОРНОГО ЛІКУВАННЯ"" у місті Києві",Buyer,10198@ukr.net
05483182,Комунальне некомерційне підприємство Миколаївської міської ради Центр первинної медико-санітарної допомоги №2,Buyer,centr_perv2@ukr.net
44592550,Інклюзивно-ресурсний центр №11 Дарницького району м. Києва,Buyer,irc11kyiv@ukr.net
13844159,Головне управління Пенсійного фонду України в Миколаївській області,Buyer,ecp1_pensv@mk.pfu.gov.ua
14152618,"ВОЛОЧИСЬКЕ КОМУНАЛЬНЕ ПІДПРИЄМСТВО ВОДОПРОВІДНО-КАНАЛІЗАЦІЙНОГО ГОСПОДАРСТВА ""ДЖЕРЕЛО"" ",Buyer,zhyhailo@ukr.net
39653223,СОЦІАЛЬНИЙ ЦЕНТР МАТЕРІ ТА ДИТИНИ,Buyer,kuzmina-ann@mail.ru
02005639,"Комунальне некомерційне підприємство ""Черкаський обласний онкологічний диспансер Черкаської обласної ради""",Buyer,finance2@onko.ck.ua
42768839,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ЗЕЛЕНБУД"" СТОРОЖИНЕЦЬКОЇ МІСЬКОЇ РАДИ ЧЕРНІВЕЦЬКОГО РАЙОНУ ЧЕРНІВЕЦЬКОЇ ОБЛАСТІ",Buyer,kpzelenbyd@gmail.com
44047886,"ВІДДІЛ ОСВІТИ, КУЛЬТУРИ, ТУРИЗМУ, МОЛОДІ ТА СПОРТУ ЛИХІВСЬКОЇ СЕЛИЩНОЇ РАДИ",Buyer,vid.osvita_lih@ukr.net
35323247,КОМУНАЛЬНЕ ПІДПРИЄМСТВО ПРИ ПІДГАЙЦІВСЬКІЙ СІЛЬСЬКІЙ РАДІ,Buyer,melniknatasha1975@ukr.net
02220912,"Обласний комунальний заклад ""Національний літературно - меморіальний музей Г. С. Сковороди""",Buyer,skovoroda.m@gmail.com
04396986,Виконавчий комітет Первомайської міської ради Харківської області,Buyer,1may_ekonom@ukr.net
34085731,"Комунальний заклад ""Чемерпільський ліцей"" Заваллівської селищної ради Голованівського району Кіровоградської області",Buyer,olenak678@gmail.com
25154431,Професійно-технічне училище №50 м. Карлівка,Buyer,pptunom50karlivka@gmail.com
37992989,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ЗДОЛБУНІВСЬКЕ"" ЗДОЛБУНІВСЬКОЇ МІСЬКОЇ РАДИ РІВНЕНСЬКОЇ ОБЛАСТІ",Buyer,kpzdolbunivske_zakupivli@ukr.net
30950099,"Комунальне підприємство ""Швидкісний трамвай""",Buyer,ira.uman@gmail.com
22994521,Військовий інститут Київського національного університету імені Тараса Шевченка,Buyer,deinega_natalia@ukr.net
22704322,КОМУНАЛЬНИЙ ЗАКЛАД “МІСЬКА СПЕЦІАЛІЗОВАНА ДИТЯЧО-ЮНАЦЬКА СПОРТИВНА ШКОЛА ОЛІМПІЙСЬКОГО РЕЗЕРВУ”,Buyer,nenakhov71@gmail.com
44091563,"ВІДДІЛ КУЛЬТУРИ, ТУРИЗМУ, НАЦІОНАЛЬНОСТЕЙ ТА РЕЛІГІЙ БОГОРОДЧАНСЬКОЇ СЕЛИЩНОЇ РАДИ",Buyer,bogobuch@ukr.net
03191667,Вінницький національний медичний університет ім. М.І. Пирогова Науково-дослідний інститут реабілітації осіб з інвалідністю (навчально-науково-лікувальний комплекс) Вінницького національного медичного університету ім. М.І.Пирогова,Buyer,ukrndiri@i.ua
03353868,"Комунальне підприємство електромереж зовнішнього освітлення ""Тернопільміськсвітло""",Buyer,termiscsvitlo@gmail.com
